deployment_waterbody,location_description,lease,status,deployment,retrieval,duration,logger_latitude,logger_longitude,logger_model,serial,sensor_depth,sounding,datum,mount_type,acoustic_release,surface_buoy,deployment_attendant,retrieval_attendant,comments,deployment_waypoint,retrieval_waypoint,retrieval_latitude,retrieval_longitude,sensor_voltage_deployed,sensor_voltage_retrieved,vessel_sounder_offset_transponder_depth,verified_measurement_below_origin_first_sensor_under_float,tide_correction,rising_or_falling,height_of_vr_2_ar_base_off_bottom,time_of_deployment,photos_taken,anchor_type,float_type,distance_from_top_of_float_to_origin_first_sensor,deployment_time,retrieval_time,dist_to_shore,substrate,deployment_notes,retrieval_notes,configuration,mooring_type,data_processor_notes,data_handler_notes,lease_maybe,latitude_maybe,longitude_maybe,depth_maybe,depth_of_water_m,15,secondary_float_type,distance_from_top_of_float_to_origin_first_sensor_1
Whycocomagh Basin,0814x W,0814x,Retrieved,2020-09-09,2020-12-04,86,45.9454689543126,-61.1291712369593,aquaMeasure SAL,680360,10,28,NA,NA,NA,N,"Todd Mosher, David Cook","Mark Decker, Timothy Dada, Michelle Plamondon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899-12-31T13:52:00Z,NA,120lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Basin,0814x W,0814x,Retrieved,2020-09-09,2020-12-04,86,45.9454689543126,-61.1291712369593,aquaMeasure DOT,671045,17.5,28,NA,NA,NA,N,"Todd Mosher, David Cook","Mark Decker, Timothy Dada, Michelle Plamondon",Recorded -0.1% for several weeks.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899-12-31T13:52:00Z,NA,120lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,1012,1012,Retrieved,2016-01-21,2016-10-12,265,44.4071018463414,-66.1605322268476,HOBO_Pro_V2,10755246,28,29,NA,NA,NA,NA,"Jessica Feindel, Nathaniel Feindel",NA,Station name given as 1012 in NSDFA tracking sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,1012,1012,Retrieved,2016-01-21,2016-10-12,265,44.4071018463414,-66.1605322268476,HOBO_Pro_V2,10755247,15,29,NA,NA,NA,NA,"Jessica Feindel, Nathaniel Feindel",NA,missing data; station name given as 1012 in NSDFA tracking sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,1012,1012,Retrieved,2016-01-21,2016-10-12,265,44.4071018463414,-66.1605322268476,HOBO_Pro_V2,10755237,1,29,NA,NA,NA,NA,"Jessica Feindel, Nathaniel Feindel",NA,missing data; station name given as 1012 in NSDFA tracking sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,1042,1042,Retrieved,2021-08-27,2022-05-23,269,44.652855,-65.674531,aquaMeasure DOT,671014,0.5,NA,NA,Attached to oyster cage,N,Y,Bear River/Innovative Fisheries,Bear River/Innovative Fisheries,Boat went through oyster line after 10 days of deployment. Sensor was redeployed after short stint on land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,1199,1199,Retrieved,2015-07-29,2015-11-18,112,45.273611,-61.128889,HOBO_Pro_V2,10194911,1,NA,NA,NA,NA,NA,Andrew Bagnall,Andrew Bagnall,Suspect pattern in data indicates the deployment date (2015-Jul-29) may be incorrect. Date updated to reflect pattern in data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suspect pattern in data indicates the deployment date may be incorrect.,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,1199,1199,Retrieved,2016-06-07,2018-07-11,764,45.2749667,-61.128,HOBO_Pro_V2,10755231,1,NA,NA,NA,NA,NA,"Andrew Bagnall, Isabelle Trembley","David Cook, Toby Balch","block #7, line #4 between yellow, blue buoys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Country Harbour,1307,1307,Retrieved,2019-04-02,2020-07-06,461,45.16008,-61.68005,HOBO Pro V2,10817410,2,15,WGS84,Sub-Surface Buoy,N,N,"Toby Balch, Matt Hatcher, Leeway crew",NA,"Drag Anchor, WP 98 @ 45.16012, -61.67964",97,NA,45.1601,-61.680133,NA,3.51,NA,NA,NA,NA,NA,1899-12-31 13:02:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Country Harbour,1307,1307,Retrieved,2019-04-02,2020-07-06,461,45.16008,-61.68005,HOBO Pro V2,20495242,5,NA,WGS84,Sub-Surface Buoy,N,N,"Toby Balch, Matt Hatcher, Leeway crew",NA,"Drag Anchor, WP 98 @ 45.16012, -61.67964",97,NA,45.1601,-61.680133,NA,3.57,NA,NA,NA,NA,NA,1899-12-31 13:02:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Country Harbour,1307,1307,Retrieved,2019-04-02,2020-07-06,461,45.16008,-61.68005,HOBO Pro V2,20330413,10,NA,WGS84,Sub-Surface Buoy,N,N,"Toby Balch, Matt Hatcher, Leeway crew",NA,"Drag Anchor, WP 98 @ 45.16012, -61.67964",97,NA,45.1601,-61.680133,NA,3.48,NA,NA,NA,NA,NA,1899-12-31 13:02:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sober Island Pond,1323,1323,Retrieved,2017-07-24,2017-12-12,171,44.845186,-62.4662922,HOBO_Pro_V2,10817399,1,NA,NA,NA,NA,NA,Trevor Munroe,Trevor Munroe,"2017 Vibrio Project; DD changed Logger_Longitude to match previous deployment in Lease 1323 (old longitude was on land several km away); 2023-04-28: DD changed deployment date from 2018-06-24 to match data. Station name updated from ""Sober Island"" to distinguish these deployments from those on lease 1348.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sober Island Pond,1323,1323,Retrieved,2018-06-12,2018-11-22,163,44.8451864,-62.4662922,HOBO Pro V2,20291475,1,NA,NA,NA,NA,NA,NA,NA,"DD: swapped Waterbody and Location_Description to be consistent with other Sober Island deployments. Station renamed from ""Sober Island"" to distinguish it from other Sober Island deployments on lease 1348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mabou Harbour,1330,1330,Retrieved,2022-08-03,2022-10-24,82,46.084167,-61.457222,hobo Pro V2,20495242,2,NA,NA,NA,N,N,Dave McNeill,Dave McNeill,uncertainty about deployment dates. Dates chosen based on data. Logger likely retrieved prior to fall hurricane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to gear,oyster gear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mabou Harbour,1331,1331,Retrieved,2021-05-17,2021-11-20,NA,46.075472,-61.447361,HOBO Pro V2,21043068,1,NA,NA,NA,N,Y,Dave MacNeil,Dave MacNeil,deployed on gear by Dave Macneial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to gear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mabou Harbour,1331,1331,Retrieved,2021-05-17,2021-11-20,NA,46.075472,-61.447361,aquaMeasure DOT,670367,2,NA,NA,NA,N,Y,Dave MacNeil,Dave MacNeil,deployed on gear by Dave Macneial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to gear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mabou Harbour,1331,NA,Retrieved,2022-08-03,2022-10-24,82,46.080833,-61.435833,aquameasure DOT,671188,1,NA,NA,NA,N,N,Dave McNeill,Dave McNeill,"uncertainty about deployment dates, depth, and which sensor was deployed at which location. See email in folder. Waiting on hobo file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to gear,oyster gear,NA,NA,1327,46.080833,-61.435833,2,NA,NA,NA,NA
Mabou Harbour,1331,NA,Retrieved,2022-08-03,2022-10-24,82,46.080833,-61.435833,aquameasure SAL,680360,2,NA,NA,NA,N,N,Dave McNeill,Dave McNeill,"uncertainty about deployment dates, depth, and which sensor was deployed at which location. See email in folder. Waiting on hobo file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to gear,oyster gear,NA,NA,1331,46.074722,-61.446667,2,NA,NA,NA,NA
St Mary's River,Logger 1,NA,Retrieved,2022-05-18,2022-09-19,124,45.078111,-61.938444,HOBO Level Logger,21286131,5.6,5.6,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface, zip tied. Dove on Site 1 , last to recover both turbidity and tidal meter, all instruments exposed, hard bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's River,Logger 2,NA,Retrieved,2022-05-18,2022-09-19,124,45.071194,-61.926722,HOBO Level Logger,21286132,3.6,3.6,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface,zip tied. Dove on Site 2 first. Spent over hour digging sand around blocks, instruments were buried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's River,Logger 2,NA,Currently_Deployed,2022-05-18,2022-09-19,124,45.071194,-61.926722,aquaMeasure CHL,NA,3.6,3.6,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface,zip tied. Dove on Site 2 first. Spent over hour digging sand around blocks, instruments were buried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's River,Logger 2,NA,Retrieved,2022-05-18,2022-09-19,124,45.071194,-61.926722,aquaMeasure SAL,686012,3.6,3.6,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface,zip tied. Dove on Site 2 first. Spent over hour digging sand around blocks, instruments were buried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's River,Logger 2,NA,Retrieved,2022-05-18,2022-09-19,124,45.071194,-61.926722,aquaMeasure TURB,686393,3.6,3.6,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface,zip tied. Dove on Site 2 first. Spent over hour digging sand around blocks, instruments were buried. TURB was moved between sites several times. See notes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's River,Logger 3,NA,Retrieved,2022-05-18,2022-09-19,124,45.067889,-61.914056,HOBO Level Logger,21286130,4.5,4.5,NA,Cinder Block,N,N,"Robin Stuart, Blair Golden, 2 others","Robin Stuart, Evan and 2 others","Dove to deploy and assure upright. Submerged rope with buoy 2m below surface,zip tied. Site 3, recovered tidal meter, no issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,5005,5005,Retrieved,2021-05-14,2021-06-18,35,44.634167,-65.711933,aquaMeasure SAL,680322,1,NA,NA,NA,N,Mounted to oyster cage,Carol Ann,Carol Ann,"low water mark 6’, high water mark 25’ - 30’, deployed and retrieved by Bear River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,5006,5006,Retrieved,2021-05-14,2021-06-18,35,44.669583,-65.647733,HOBO Pro V2,20330413,1.3,NA,NA,NA,NA,NA,Carol Ann,Carol Ann,"low water mark 6’, high water mark 25’ - 30’, deployed and retrieved by Bear River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,5007,5007,Retrieved,2021-03-16,2021-06-17,93,44.539117,-65.957983,HOBO Pro V2,20495242,1.3,NA,NA,NA,NA,NA,Bear River,NA,"Low water mark 18', High water mark 42'. Deployed by Bear River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,5007,5007,Retrieved,2021-06-17,2021-09-22,97,44.53912,-65.95798,HOBO Pro V2,20495242,1,5,WGS84,Surface Buoy,N,Y,"Michelle Plamondon, Brett Savoury, Betty Roethlisberger",Bear River,Downloaded data and redeployed same sensor,NA,NA,NA,NA,3.23,NA,0.3,NA,2.2,Falling,NA,1899-12-31 10:05:00,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,5008,5008,Retrieved,2021-03-16,2021-06-17,93,44.503833,-65.932367,aquaMeasure SAL,680325,1,NA,NA,NA,NA,NA,Bear River,NA,"Low water mark 10', High water mark 34'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Marys Bay,5008,5008,Retrieved,2021-06-17,2021-09-22,97,44.5038567530406,-65.9322291333842,aquaMeasure_SAL,680325,3,5,WGS84,Surface Buoy,No,Yes,"Michelle Plamondon, Brett Savoury, Betty Roethlisberger",Bear River/Innovative crew,NA,NA,NA,NA,NA,3.23,NA,0.3,NA,2.2,Falling,NA,1899-12-31 10:05:00,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grahams Cove,Antigonish 1,NA,retrieved,2022-06-08,2022-09-21,105,45.677683,-61.912482,HOBO Pro V2,20291452,0.5,NA,NA,NA,no,NA,NA,NA,deployed for James thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to fixed structure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grahams Cove,Antigonish 2,NA,retrieved,2022-06-08,2022-09-21,105,45.677617,-61.912649,aquaMeasure DOT,675286,0.5,NA,NA,NA,No,NA,NA,NA,Deployed for James thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to fixed structure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grahams Cove,Antigonish 2,NA,retrieved,2022-06-08,2022-09-21,105,45.677617,-61.912649,HOBO Pro V2,20291470,0.5,NA,NA,NA,No,NA,NA,NA,Deployed for James thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to fixed structure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grahams Cove,Antigonish 3,NA,Retrieved,2022-06-08,2022-09-21,105,45.677559,-61.91282,aquaMeasure SAL,686256,0.5,NA,NA,NA,No,NA,NA,NA,Deployed for James thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to fixed structure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grahams Cove,Antigonish 3,NA,Retrieved,2022-06-08,2022-09-21,105,45.677559,-61.91282,HOBO Pro V2,20495228,0.5,NA,NA,NA,No,NA,NA,NA,Deployed for James thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,attached to fixed structure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merigomish Harbour,Back Harbour,1320,Retrieved,2017-06-25,2017-11-01,129,45.6322,-62.5058,HOBO_Pro_V2,10194920,1,NA,NA,NA,NA,NA,Stephen Macintosh,Stephen Macintosh,2017 Vibrio Project; DD: assuming attached to gear based on following deployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merigomish Harbour,Back Harbour,1320,Retrieved,2018-05-19,2018-10-10,144,45.63205,-62.50545,HOBO_Pro_V2,20291480,0.5,NA,NA,NA,NA,NA,Stephen Macintosh,NA,AANS Vibrio Project; Hobo file says 1m depth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-02-25,2020-10-20,238,45.19787,-61.18615,HOBO Pro V2,20308050,2,36,WGS84,Sub-Surface Buoy,Y,N,"Matt Hatcher, Scott Hatcher, Leeway Marine","Timothy Dada, Michelle Plamondon, Joe Erly",Relocation added 5.7 m of rope to bottom end of string,59,NA,NA,NA,NA,NA,0.4,0,0.68,-,1.42,1899-12-31 17:15:55,yes,three chains,viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-02-25,2020-10-20,238,45.19787,-61.18615,HOBO Pro V2,20308042,5,36,WGS84,Sub-Surface Buoy,Y,N,"Matt Hatcher, Scott Hatcher, Leeway Marine","Timothy Dada, Michelle Plamondon, Joe Erly",Relocation added 5.7 m of rope to bottom end of string,59,NA,NA,NA,NA,NA,0.4,3.01,0.68,-,1.42,1899-12-31 17:15:55,yes,three chains,viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-02-25,2020-10-20,238,45.19787,-61.18615,HOBO Pro V2,20330412,10,36,WGS84,Sub-Surface Buoy,Y,N,"Matt Hatcher, Scott Hatcher, Leeway Marine","Timothy Dada, Michelle Plamondon, Joe Erly",Relocation added 5.7 m of rope to bottom end of string,59,NA,NA,NA,NA,NA,0.4,7.97,0.68,-,1.42,1899-12-31 17:15:55,yes,three chains,viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-02-25,2020-10-20,238,45.19787,-61.18615,HOBO Pro V2,20291470,20,36,WGS84,Sub-Surface Buoy,Y,N,"Matt Hatcher, Scott Hatcher, Leeway Marine","Timothy Dada, Michelle Plamondon, Joe Erly",Relocation added 5.7 m of rope to bottom end of string,59,NA,NA,NA,NA,NA,0.4,17.98,0.68,-,1.42,1899-12-31 17:15:55,yes,three chains,viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-02-25,2020-10-20,238,45.19787,-61.18615,VR2AR,548035,36,36,WGS84,Sub-Surface Buoy,Y,N,"Matt Hatcher, Scott Hatcher, Leeway Marine","Timothy Dada, Michelle Plamondon, Joe Erly",Relocation added 5.7 m of rope to bottom end of string,59,NA,NA,NA,3.42,NA,0.4,34.58,0.68,-,1.42,1899-12-31 17:15:55,yes,three chains,viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-10-20,2022-03-10,NA,45.197985,-61.185977,HOBO Pro V2,20330417,2,36,WGS84,sub-surface buoy,Y,N,"Timothy Dada, Michelle Plamondon, Joe Erly",NA,"HOBO replaced on string due to bad weather - avoid spending too much time on water. String lost and then retrieved in 2022 by a fisherman at 45.196333, -61.174167",NA,NA,NA,NA,NA,NA,NA,NA,1.5,+,NA,1899-12-31 10:04:00,Y,2 Steel Chains,Viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,aquaMeasure file corrupted. DNU Removed from log for processing; DD: changed waterbody to match previous deployments. Deployment drifted 944m from original deployment location,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-10-20,2022-03-10,NA,45.197985,-61.185977,HOBO Pro V2,20495241,10,36,WGS84,sub-surface buoy,Y,N,"Timothy Dada, Michelle Plamondon, Joe Erly",NA,"HOBO replaced on string due to bad weather - avoid spending too much time on water. String lost and then retrieved in 2022 by a fisherman at 45.196333, -61.174167",NA,NA,NA,NA,NA,NA,NA,NA,1.5,+,NA,1899-12-31 10:04:00,Y,2 Steel Chains,Viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,aquaMeasure file corrupted. DNU Removed from log for processing. Deployment drifted 944m from original deployment location,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-10-20,2022-03-10,NA,45.197985,-61.185977,HOBO Pro V2,20495245,20,36,WGS84,sub-surface buoy,Y,N,"Timothy Dada, Michelle Plamondon, Joe Erly",NA,"HOBO replaced on string due to bad weather - avoid spending too much time on water. String lost and then retrieved in 2022 by a fisherman at 45.196333, -61.174167",NA,NA,NA,NA,NA,NA,NA,NA,1.5,+,NA,1899-12-31 10:04:00,Y,2 Steel Chains,Viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,aquaMeasure file corrupted. DNU Removed from log for processing. Deployment drifted 944m from original deployment location,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Bald Rock,NA,Retrieved,2020-10-20,2022-03-10,NA,45.197985,-61.185977,VR2AR,548035,36,36,WGS84,sub-surface buoy,Y,N,"Timothy Dada, Michelle Plamondon, Joe Erly",NA,"HOBO replaced on string due to bad weather - avoid spending too much time on water. String lost and then retrieved in 2022 by a fisherman at 45.196333, -61.174167",NA,NA,NA,NA,NA,NA,NA,NA,1.5,+,NA,1899-12-31 10:04:00,Y,2 Steel Chains,Viny,0.74,NA,NA,NA,NA,NA,NA,NA,NA,aquaMeasure file corrupted. DNU Removed from log for processing. Deployment drifted 944m from original deployment location,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bras d'Or Lakes,Barra Strait S,NA,Retrieved,2016-09-21,2018-08-13,691,45.946984,-60.8091901,HOBO_Pro_V2,10817504,21,23,NA,NA,NA,NA,Bruce Hatcher,Bruce Hatcher,on Iona side of channel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rounded depth for clarity,NA,NA,NA,NA,NA,NA,NA,NA
Marie Joseph Harbour,Barren Island,NA,Retrieved,2019-07-02,2020-05-27,330,44.95025,-62.0113,HOBO Pro V2,20495249,2,15.19,WGS84,Sub Surface Buoy,Y,N,"Matthew Hatcher, Scott Hatcher",NA,"Replaced TidbiT MX2303 20397534 from previous deployment. HOBO Pro V2 launched with full battery, 15m log interval (1.2 years of memory), study start: 2019-07-02 15:00:00 UTC",164,NA,NA,NA,NA,NA,0.3,0,1.04,-,1.44,1899-12-31 15:27:36,yes,three chains,viny,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marie Joseph Harbour,Barren Island,NA,Retrieved,2019-07-02,2020-05-27,330,44.95025,-62.0113,aquaMeasure DOT,670365,5,15.19,WGS84,Sub-Surface Buoy,Y,N,"Matthew Hatcher, Scott Hatcher",NA,"Replaced Aquameasure DOT 670376 from previous deployment due to lack of cell coverage during recovery. New DOT sensor 670365 with firmware 2.0.19, new battery, and calibrated time.",164,NA,NA,NA,NA,NA,0.3,2.92,1.04,-,1.44,1899-12-31 15:27:36,yes,three chains,viny,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marie Joseph Harbour,Barren Island,NA,Retrieved,2019-07-02,2020-05-27,330,44.95025,-62.0113,HOBO Pro V2,20495247,10,15.19,WGS84,Sub Surface Buoy,Y,N,"Matthew Hatcher, Scott Hatcher",NA,"Replaced TidbiT MX2303 20397530 from previous deployment. HOBO Pro V2 launched with full battery, 15m log interval (1.2 years of memory), study start: 2019-07-02 15:00:00 UTC",164,NA,NA,NA,NA,NA,0.3,7.92,1.04,-,1.44,1899-12-31 15:27:36,yes,three chains,viny,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marie Joseph Harbour,Barren Island,NA,Retrieved,2019-07-02,2020-05-27,330,44.95025,-62.0113,VR2AR,547088,15,15.19,WGS84,Sub-Surface Buoy,Y,N,"Matthew Hatcher, Scott Hatcher",NA,Battery at 0% on recovery. Very close to dead. Acoustic release still worked. Clock drift of 10m05s over study period.,164,NA,NA,NA,3.47,NA,0.3,11.66,1.04,-,1.44,1899-12-31 15:27:36,yes,three chains,viny,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
